idRule,count_Ant,sup_Antec,count_Cons,sup_Cons,count_Rule,sup_Rule,conf_Rule,state
22,511,0.05461735784523301,8218,0.8783668234288158,442,0.04724241128687473,0.8649706457925636,Not supported
23,195,0.020842240273621207,66,0.00705429670799487,0,0.0,0.0,Not supported
24,1,0.00010688328345446772,7560,0.808037622915776,0,0.0,0.0,Not supported
25,0,0.0,1159,0.12387772552372808,0,0.0,0.0,Not supported
26,6404,0.6844805472424113,1190,0.1271911073108166,907,0.09694313809320222,0.14163023110555903,Not confident
27,1802,0.19260367678495083,8429,0.9009191962377084,1358,0.14514749893116716,0.753607103218646,Not confident
28,452,0.04831124412141941,1079,0.11532706284737067,0,0.0,0.0,Not supported
29,0,0.0,209,0.022338606241983753,0,0.0,0.0,Not supported
30,0,0.0,8631,0.9225096194955109,0,0.0,0.0,Not supported
31,505,0.0539760581445062,217,0.023193672509619494,26,0.0027789653698161608,0.05148514851485148,Not supported
32,1048,0.11201368106028217,2,0.00021376656690893543,0,0.0,0.0,Not supported
33,85,0.009085079093629756,1079,0.11532706284737067,0,0.0,0.0,Not supported
34,1372,0.1466438648995297,129,0.013787943565626336,85,0.009085079093629756,0.0619533527696793,Not supported
35,0,0.0,7560,0.808037622915776,0,0.0,0.0,Not supported
36,1190,0.1271911073108166,1079,0.11532706284737067,0,0.0,0.0,Not supported
37,119,0.01271911073108166,8609,0.9201581872595126,116,0.012398460880718255,0.9747899159663865,Not supported
38,808,0.08636169303120991,217,0.023193672509619494,0,0.0,0.0,Not supported
39,7,0.000748182984181274,868,0.09277469003847798,0,0.0,0.0,Not supported
40,7560,0.808037622915776,2693,0.28783668234288157,2375,0.2538477982043608,0.31415343915343913,Not confident
41,1308,0.13980333475844378,3999,0.4274262505344164,1011,0.10805899957246687,0.7729357798165137,Not confident
42,0,0.0,2770,0.29606669516887557,0,0.0,0.0,Not supported
43,972,0.10389055151774262,8558,0.9147071398033347,677,0.07235998289867465,0.6965020576131687,Not confident
44,549,0.05867892261650278,165,0.017635741769987175,109,0.011650277896536982,0.19854280510018216,Not supported
45,1372,0.1466438648995297,98,0.010474561778537837,83,0.00887131252672082,0.060495626822157436,Not supported
